"filename", "language", "SCSS", "JavaScript", "JSON", "PostCSS", "Vue", "Markdown", "XML", "HTML", "JSON with Comments", "comment", "blank", "total"
"g:\cxj\front\cxj\uview-ui\libs\function\guid.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 13, 4, 42
"g:\cxj\front\cxj\uview-ui\libs\function\md5.js", "JavaScript", 0, 280, 0, 0, 0, 0, 0, 0, 0, 72, 33, 385
"g:\cxj\front\cxj\uview-ui\libs\function\queryParams.js", "JavaScript", 0, 45, 0, 0, 0, 0, 0, 0, 0, 12, 2, 59
"g:\cxj\front\cxj\uview-ui\libs\function\random.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"g:\cxj\front\cxj\uview-ui\libs\function\randomArray.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 2, 8
"g:\cxj\front\cxj\uview-ui\libs\function\route.js", "JavaScript", 0, 88, 0, 0, 0, 0, 0, 0, 0, 25, 9, 122
"g:\cxj\front\cxj\uview-ui\libs\function\sys.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10
"g:\cxj\front\cxj\uview-ui\libs\function\test.js", "JavaScript", 0, 138, 0, 0, 0, 0, 0, 0, 0, 70, 25, 233
"g:\cxj\front\cxj\uview-ui\libs\function\throttle.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 10, 2, 33
"g:\cxj\front\cxj\uview-ui\libs\function\timeFormat.js", "JavaScript", 0, 39, 0, 0, 0, 0, 0, 0, 0, 9, 4, 52
"g:\cxj\front\cxj\uview-ui\libs\function\timeFrom.js", "JavaScript", 0, 34, 0, 0, 0, 0, 0, 0, 0, 10, 4, 48
"g:\cxj\front\cxj\uview-ui\libs\function\toast.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"g:\cxj\front\cxj\uview-ui\libs\function\trim.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"g:\cxj\front\cxj\uview-ui\libs\function\type2icon.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 0, 0, 8, 2, 36
"g:\cxj\front\cxj\uview-ui\libs\mixin\mixin.js", "JavaScript", 0, 50, 0, 0, 0, 0, 0, 0, 0, 14, 1, 65
"g:\cxj\front\cxj\uview-ui\libs\mixin\mpShare.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 1, 19
"g:\cxj\front\cxj\uview-ui\libs\request\index.js", "JavaScript", 0, 121, 0, 0, 0, 0, 0, 0, 0, 38, 11, 170
"g:\cxj\front\cxj\uview-ui\libs\store\index.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 1, 1, 19
"g:\cxj\front\cxj\uview-ui\libs\util\area.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"g:\cxj\front\cxj\uview-ui\libs\util\async-validator.js", "JavaScript", 0, 916, 0, 0, 0, 0, 0, 0, 0, 209, 232, 1357
"g:\cxj\front\cxj\uview-ui\libs\util\city.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"g:\cxj\front\cxj\uview-ui\libs\util\emitter.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 0, 0, 22, 1, 52
"g:\cxj\front\cxj\uview-ui\libs\util\province.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"g:\cxj\front\cxj\uview-ui\package.json", "JSON", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 1, 40
"g:\cxj\front\cxj\uview-ui\theme.scss", "SCSS", 36, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 49
"g:\cxj\front\cxj\vue.config.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"Total", "-", 1086, 4648, 570, 680, 29994, 200, 22, 36, 15, 6191, 3454, 46896
